NAME,Garden land without Road Access,Garden land with Road Access,Wet Land,Rocky Land,Residential Plot with Private Road Access,Residential Plot with NH/PWD Road Acess,Commercially Important Plot
0.0625,92891.88679,108397.1429,79379.41748,50293.21101,96360,"86,087.00",250140
0.125,61733.12821,89412.4,52338,"69,480",102714.48,"1,41,848.18",313364.3836
0.1875,15167.54717,33792,23000,10000,26386.39175,"12,314.72",58778.82353
0.25,"21,833.51",54384,"45,311.46",26928,"44,770.29","54,945.05","1,78,272"
0.3125,"2,44,392",75240,"1,11,458.29","38,844.57","87,678.86","1,59,056.08","3,52,917.86"
0.375,"1,02,720","1,09,214.40","1,33,358.40",158400,"1,34,865.60","1,37,774.02",94248
0.4375,"71,880","81,856","70,800",52800,"1,01,280","95,830.69","1,22,040"
0.5,26400,36000.002,"20,000",3000,"1,64,230","2,69,064","4,22,400"
0.5625,33396,37000,"2,02,103","50,765","1,23,764","5,57,581.20",1320000
0.625,"1,72,151","1,72,644","98,162","1,25,620","1,69,812","2,15,688","2,70,011"
0.6875,"47,780","87,531","53,684",40000,"96,518","1,38,072","3,16,536"
0.75,"1,03,018","1,46,760","31,489.41","20,409.92","1,26,852.29","2,31,731.43",302524.4444
0.8125,"57,152.58","52,783.13","65,237.91","50,343.33","56,892.98","62,570.94","97,362.79"
0.875,"83,755.79","89,179.56","49,144.64",29000,"94,500",100000,"2,38,493"
0.9375,"1,22,583","1,24,300","66,900","22,836","1,60,656","2,22,679","2,41,164"
1,45000,"4,10,712","81,411.50",110880,"1,55,134","1,16,201.68","5,75,043"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,],,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
